"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","FOOTPRINT10","FOOTPRINT11","FOOTPRINT12","FOOTPRINT13","FOOTPRINT14","FOOTPRINT15","FOOTPRINT16","FOOTPRINT17","FOOTPRINT18","FOOTPRINT19","FOOTPRINT20","FOOTPRINT21","FOOTPRINT22","FOOTPRINT23","FOOTPRINT24","FOOTPRINT25","FOOTPRINT26","FOOTPRINT27","FOOTPRINT28","FOOTPRINT29","FOOTPRINT30","FOOTPRINT31","FOOTPRINT32","FOOTPRINT33","FOOTPRINT34","FOOTPRINT35","FOOTPRINT36","FOOTPRINT37","FOOTPRINT38","FOOTPRINT39","ASID PART NUMBER","AVAILABILITY","BANDWIDTH","CHECK_PRICES","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","CPU NAME","DATA RATE","DATASHEETVERSION","DIGI-KEY_PART_NUMBER","DIGI-KEY_PURCHASE_URL","HEIGHT","INTERFACE","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER’S ORDERING CODE","MAX CPU FREQ","MF","MP","NOMINAL SUPPLY CURRENT","NOTE","NUMBER OF ADC CHANNELS","NUMBER OF CORES","NUMBER OF GPIO","PACKAGE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PART NUMBER","PRICE","PUBLISHED","PUBLISHER","PURCHASE-URL","SNAPEDA_LINK","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLY VOLTAGE","TE_PURCHASE_URL","TEMPERATURE RANGE","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"LED 0603 Red","LED0603-IPC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LED 0603 Red","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.003","","","","","Digi-Key","","","732-4979-1-ND","","","","","","","*","D?","LED RED CLEAR 0603 SMD"
"LED 0603 Yellow","LED0603-IPC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LED 0603 Yellow","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.003","","","","","Digi-Key","","","732-4981-1-ND","","","","","","","*","D?","LED YELLOW CLEAR 0603 SMD"
"LM2596_MODULE","LM2596_MODULE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","DATASHEET","http://tpelectronic.ir/datasheets/20150123144301750.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"LM358","DIP8","DIP8-SOCKET","SOIC-8S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LM358","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","","","","*","U?","7mV 250nA 7uV/C 1MHz 0.6V/uS 0.8mA 3-32V"
"Led_RGB_0404","LED_0404_RGB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RGB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","Mouser","LCSC","UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND","941-UHD0FKAC11BQFMF3","C158099","","","","","","D?","RGB Led 1 x 1 mm Diffused"
"Led_RGB_0606","LED_0606_RGB_WURTH","LED_0606_RGB_WURTH - Reverse Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RGB","","","","","","","","","","","","Everlight","19-237/R6GHBHW-C01/2T","","","","","","","","","","","","","","","","","","","","Digi-Key","","","1080-1590-1-ND","","","","","","","","D?","RGB Led 1.6 x 1.6 mm Diffused"
"MAX485","SOIC-8S","SOIC-8","SOIC 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MAX485ESA","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.074","","","","","","","","","","","","","","","*","U?","Low-Power, Slew-Rate-Limited
RS-485/RS-422 Transceivers"
"MOC3020Z","DIP6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OPTO-ISOLATOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","*","U?","OPTO-ISOLATOR LED-PTRIAC IF=50mA-max"
"MP1583","SOIC 8 - HEATSINK","SOIC 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"N-CHANNEL-MOSFET","SOT23(123)","SOT23(132)","TO252","TO252AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DMN3024SFG-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.009","","","","","Digi-Key","Mouser","","DMN3024SFG-7DICT-ND","621-DMN3024SFG-7","","","","","","*","Q?","N-Channel 30 V 7.5A (Ta) 900mW (Ta) Surface Mount PowerDI3333-8"
"N76E003","TSSOP-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"NPN","SOT23(123)","SOT23(321)","SOT23(312)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.005","","","","","Digi-Key","","","568-11514-1-ND","","","","","","","*","Q?","Transistor, NPN, RF, 50mA, 12V"
"NRF24L01","NRF24L01P_M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","M?",""
"OV7670","OV7670","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","M?",""
"P-CHANNEL-MOSFET","SOT23(123)","SOT23(132)","TO252","TO252AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DMP1045U","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.009","","","","","Digi-Key","","","DMP1045U-7DICT-ND","","","","","","","*","Q?","Transistor, MOSFET, P-Channel, 12V, 5.2A, 26mOhm"
"P0903BDG","TO228P970X238-3N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.irf.com/","","","PD-9.814","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","Pin 2 is electrically connected to pin 4.","","","","","TO, Thru-Hole, Vertical, Heatsink Mounted; 3 In-Line Leads; Pitch 2.54 mm","TO-220AB","Feb-1997","","","8-Jun-2000","Altium Limited","","","","","","","","","","","","","","Q?","N-Channel Power MOSFET"
"PC817C","DIP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PC817C","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","","","","*","U?","OPTO-ISOLATOR IF=50mA-max"
"REF2920","SOT23(132)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","Datasheet","E:\NEW_DATA\ELECTRONIC_DOCUMENT\DATASHEET\ref2920.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","REF29xx 100 ppm/°C, 50 µA in 3-Pin SOT-23 CMOS Voltage Reference"
"RELAY","RELAY 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RELAY12V","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","*","RL?","DC ATX203 12V"
"RES","AXIAL-0.4","RES-SMD-0201","RES-SMD-0402","RES-SMD-0603","RES-SMD-0805","RES-SMD-01005","RES-SMD-1206","RES-SMD-1210","RES-SMD-1812","RES-SMD-2010","RES-SMD-2512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","Chip Resistor","J1-0805","","","0.005","","","","","","","","311-1.00KLRCT-ND","","","","","","1K","","R?","Chip Resistor, 0805, 1%, 1/8 W"
"SIM800L","SIM800L_M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Module SIM800L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","M?",""
"SW3x1","SW102T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Switch 3x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Switch 4x2","*","SW?","Switch 3x1"
"SWITCH TACTILE SPST","TL3342F260QG","Header 2P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","TL3342F260QG","","","","","","","","","","","","","","","0.25","","","","","Digi-Key","","","EG5470CT-ND","","","","","","","*","S?","SWITCH TACTILE SPST-NO 0.05A 12V"
"Screw","MY_PAD_3MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Screw-AS","","","","Screw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","S?","3mm Screw"
"TBLOCK-2","TE_282837-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","282837-2","","","","","","A113320-ND","https://www.digikey.in/product-detail/en/te-connectivity-amp-connectors/282837-2/A113320-ND/2187973?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","","","","","","","","","TE Connectivity","282837-2","","","","","","None","","","","","","","","","https://www.snapeda.com/parts/282837-2/TE%20Connectivity%20AMP%20Connectors/view-part/2549980/?ref=snap","","","","","","","","https://www.te.com/usa-en/product-282837-2.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493","","*","*","P?","Connector Terminal Blocks Receptacle 2 Position 5.08mm Solder Straight Thru-Hole 13.5A/Contact"
"TRIAC","TO252AA","SOT233","TO252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BTA06-600B","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06","","","","","","","","","","","","","","","*","Q?","TRIAC TO-220AB VRRM=600"
"Trans","12_SOLDER_TRANS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08-Jul-2005","Mech Layer 1 removed.","","","","","","","","","","","","","Transformer; 4 Leads","TRANS","","","","24-Mar-1999","Altium Limited","","","","","","","","","","","","","","T?","Transformer"
"ULN2803A","SOIC-18","DIP18","DIP18_SOCKET","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Darlington Transistor Arrays, Relay Drivers, Lamp Drivers."
"VHM-314","VHM-314-M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VHM-314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","M?","VHM-314 V2.0 V3.0 DIY Bluetooth Audio Receiver 4.1 5.0 MP3 Lossless Decoder"
"ZENER","DIO-SMD-106","DIO-SMD-123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1N4733ARL","","","","","","","","","","","","Littlefuse Inc.","","SMF22A","","","","","","","","","","","","","SMF22A","0.007","","","","","Digi-Key","Mouser","LCSC","F5822CT-ND","576-SMF22A","C169431","","","","5V6","","D?","DIODE-ZNR 5.6V 5% PD=1W IR=10uA"
